#{"t_start": 1779336027.0662909, "env_id": "None"}
r,l,t
517.374749,41,409.16133
510.331817,34,409.961563
549.780205,38,410.793394
545.708097,47,411.772349
810.753741,37,412.200901
837.053278,32,412.961265
530.92369,36,413.81659
505.404665,46,414.793247
829.140818,31,415.563016
510.223759,37,416.412547
504.245782,42,417.287185
530.365491,34,418.091738
526.452593,29,418.461207
531.489398,33,419.282065
720.109193,40,420.162991
547.498952,38,421.021719
822.626132,38,421.870209
484.852586,31,422.6412
398.736747,38,423.481976
483.529484,36,424.342567
511.413053,34,425.151396
542.45325472.769313,46,426508.690366,32,426.692987
452.40074541.468599,40,427486.0761483.041644,46,428.522.6884539.429207,37,429.510.028704,35,430.144136
481.166440.244432,40,431.3525.703441.971492,49,432.7827.755543.023459,36,433.1482.787388,49,433.612329
497.513669,38,434.455896
537.291523,37,435.30143
449.646964,38,436.172618
545.784535,38,437.01372
538.914048,43,437.925164
838.660077,31,440.87825
491.084876,37,441.702507
380.432876,44,442.604294
817.634507,42,443.881472
492.799167,38,444.304116
541.14311,34,445.103817
789.213848,35,445.890527
547.420662,33,446.713854
479.145628,36,447.532843
833.372365,37,448.381323
503.407259,31,449.169977
819.990078,36,449.995905
515.435068,40,450.871731
480.78365,39,451.7356
521.832701,35,452.563201
817.433351,2448.899451,44,470.200713,4521.418181,39415.563517,42459.665828,48419.182992,50,456.212086
533.00588,40,457.093704
490.348237,34,457.895392
473.232483,41,458.781718
540.405097,41,459.662559
483.635233,40,460.591123
839.985897,31,461.37059
506.798041,34,462.166586
476.611458,40,463.039868
540.279528,39,463.873036
518.702879,38,464.755443
536.896898,44,465.674773
550.446113,35,466.464729
527.426919,39,467.301347
539.821074,37,468.139582
831.904807,36,468.552544
475.533561,49,469.943294
490.824848,39,470.791367
539.578149,44,471.681853
826.742731,38,472.546191
534.099816,43,473.431345
794.83362,33,474.232145
549.572615,30,474.963018
833.772684,27,476.437822
833.772684,27,477.123391
517.722584,44,478.490691
522.406739,31,478.845549
807.929904,32,479.623188
467.107677,41,480.512964
